TIMESTAMP,METHOD,100-CNT,100-AVG,100-STD,100-MAX,180-CNT,180-AVG,180-STD,180-MAX,200-CNT,200-AVG,200-STD,200-MAX
1522682570,INVITE,0,0.00,0.00,0,600,1.61,0.81,8,590,504.32,1.65,514
1522682571,INVITE,0,0.00,0.00,0,600,1.65,0.76,6,612,504.03,1.33,512
1522682572,INVITE,0,0.00,0.00,0,600,1.65,0.78,7,608,504.11,1.42,515
1522682573,INVITE,0,0.00,0.00,0,600,1.63,0.82,10,583,504.21,1.43,512
1522682574,INVITE,0,0.00,0.00,0,600,1.60,0.75,5,609,504.04,1.31,513
1522682575,INVITE,0,0.00,0.00,0,600,1.69,0.85,9,601,504.05,1.38,516
1522682576,INVITE,0,0.00,0.00,0,600,1.69,0.85,7,601,504.19,1.35,513
1522682577,INVITE,0,0.00,0.00,0,600,1.61,0.77,6,590,504.12,1.36,512
1522682578,INVITE,0,0.00,0.00,0,600,1.63,0.80,6,615,504.12,1.35,512
1522682579,INVITE,0,0.00,0.00,0,600,1.64,0.78,7,595,504.08,1.26,511
1522682580,INVITE,0,0.00,0.00,0,600,1.59,0.75,7,594,504.02,1.26,510
1522682581,INVITE,0,0.00,0.00,0,600,1.67,0.76,5,604,504.08,1.27,510
1522682582,INVITE,0,0.00,0.00,0,600,1.63,0.79,8,603,503.97,1.14,509
1522682583,INVITE,0,0.00,0.00,0,600,1.63,0.80,6,599,504.97,20.46,1004
1522682584,INVITE,0,0.00,0.00,0,600,1.65,0.75,6,601,504.10,1.27,511
1522682585,INVITE,0,0.00,0.00,0,600,1.61,0.78,8,592,504.04,1.46,519
1522682586,INVITE,0,0.00,0.00,0,600,1.61,0.76,6,598,503.95,1.18,511
1522682589,INVITE,0,0.00,0.00,0,205,1.68,0.74,6,493,504.08,1.35,510
