TIMESTAMP,METHOD,100-CNT,100-AVG,100-STD,100-MAX,180-CNT,180-AVG,180-STD,180-MAX,200-CNT,200-AVG,200-STD,200-MAX
1522683156,INVITE,0,0.00,0.00,0,580,1.49,0.66,5,214,503.78,1.05,509
1522683157,INVITE,0,0.00,0.00,0,620,2.46,17.42,435,698,504.17,1.17,511
1522683158,INVITE,0,0.00,0.00,0,600,1.66,0.84,10,572,505.78,27.75,1007
1522683159,INVITE,0,0.00,0.00,0,600,1.69,0.85,9,616,504.10,1.26,517
1522683160,INVITE,0,0.00,0.00,0,600,1.65,0.74,8,606,504.08,1.27,510
1522683161,INVITE,0,0.00,0.00,0,600,1.73,0.81,7,592,504.19,1.32,513
1522683162,INVITE,0,0.00,0.00,0,600,1.70,0.78,6,606,504.16,1.30,512
1522683163,INVITE,0,0.00,0.00,0,549,20.17,62.50,342,548,516.24,49.14,793
1522683164,INVITE,0,0.00,0.00,0,689,92.97,182.38,670,542,607.03,275.70,1550
1522683165,INVITE,0,0.00,0.00,0,600,5.13,13.06,103,714,611.16,227.96,1395
1522683166,INVITE,0,0.00,0.00,0,600,10.13,22.42,147,558,520.63,37.84,738
1522683167,INVITE,0,0.00,0.00,0,566,24.49,53.10,501,522,623.70,205.91,1431
1522683168,INVITE,0,0.00,0.00,0,635,22.08,70.98,496,649,622.48,335.21,1874
1522683169,INVITE,0,0.00,0.00,0,600,9.99,28.38,159,609,611.08,297.43,1663
1522683170,INVITE,0,0.00,0.00,0,600,8.04,21.30,141,631,603.51,227.75,1540
1522683171,INVITE,0,0.00,0.00,0,599,3.30,6.53,63,639,512.44,27.00,675
1522683172,INVITE,0,0.00,0.00,0,601,5.91,21.38,381,575,512.35,30.52,883
1522683173,INVITE,0,0.00,0.00,0,600,2.09,2.71,39,609,509.00,20.60,669
1522683174,INVITE,0,0.00,0.00,0,600,1.67,0.72,6,625,504.13,1.26,513
1522683175,INVITE,0,0.00,0.00,0,600,1.65,0.73,5,582,504.05,1.20,511
1522683176,INVITE,0,0.00,0.00,0,600,1.65,0.74,6,603,504.09,1.19,511
1522683177,INVITE,0,0.00,0.00,0,600,1.68,0.77,6,609,504.07,1.31,512
1522683178,INVITE,0,0.00,0.00,0,600,1.66,0.73,6,590,504.14,1.39,512
1522683179,INVITE,0,0.00,0.00,0,600,1.71,0.82,6,602,504.13,1.35,514
1522683180,INVITE,0,0.00,0.00,0,598,1.67,0.77,7,603,504.08,1.28,510
1522683181,INVITE,0,0.00,0.00,0,602,3.25,26.05,501,596,504.82,16.40,903
1522683182,INVITE,0,0.00,0.00,0,600,1.65,0.72,7,596,504.10,1.16,509
1522683183,INVITE,0,0.00,0.00,0,600,1.70,0.78,6,606,504.14,1.42,512
1522683184,INVITE,0,0.00,0.00,0,600,1.72,0.79,7,602,504.08,1.25,511
1522683185,INVITE,0,0.00,0.00,0,600,1.71,0.87,12,599,504.14,1.23,510
1522683186,INVITE,0,0.00,0.00,0,600,1.73,0.80,5,596,504.18,1.35,511
1522683187,INVITE,0,0.00,0.00,0,600,1.66,0.70,5,600,504.14,1.31,512
1522683188,INVITE,0,0.00,0.00,0,600,1.58,0.68,5,595,504.07,1.19,512
1522683189,INVITE,0,0.00,0.00,0,600,1.73,0.86,7,604,504.10,1.22,512
1522683190,INVITE,0,0.00,0.00,0,600,1.61,0.78,6,605,504.08,1.25,510
1522683191,INVITE,0,0.00,0.00,0,600,1.69,0.79,6,606,504.12,1.41,516
1522683192,INVITE,0,0.00,0.00,0,600,1.57,0.75,6,599,504.03,1.13,508
1522683193,INVITE,0,0.00,0.00,0,600,3.54,5.93,44,573,510.76,27.33,677
1522683194,INVITE,0,0.00,0.00,0,596,46.26,93.14,466,485,655.96,287.86,1522
1522683195,INVITE,0,0.00,0.00,0,608,4.02,8.38,91,738,576.78,129.99,1269
1522683196,INVITE,0,0.00,0.00,0,572,31.15,55.25,238,434,559.41,149.08,1171
1522683197,INVITE,0,0.00,0.00,0,595,57.74,77.38,321,477,764.01,351.25,1754
1522683198,INVITE,0,0.00,0.00,0,612,43.35,79.48,381,594,776.34,549.48,2640
1522683199,INVITE,0,0.00,0.00,0,621,17.46,36.64,202,641,1024.09,816.95,2922
1522683200,INVITE,0,0.00,0.00,0,586,12.30,27.51,253,628,840.70,587.34,3078
1522683201,INVITE,0,0.00,0.00,0,614,17.68,54.22,500,593,903.78,780.18,3446
1522683202,INVITE,0,0.00,0.00,0,600,8.48,16.13,92,678,959.41,730.86,3376
1522683203,INVITE,0,0.00,0.00,0,600,3.81,6.80,38,750,674.75,419.02,2531
1522683204,INVITE,0,0.00,0.00,0,600,1.57,0.70,5,618,504.10,1.16,510
1522683205,INVITE,0,0.00,0.00,0,600,1.62,0.77,5,578,504.04,1.20,509
1522683206,INVITE,0,0.00,0.00,0,600,1.66,0.76,5,618,503.97,1.17,510
1522683207,INVITE,0,0.00,0.00,0,600,1.64,0.82,7,592,504.04,1.25,510
1522683208,INVITE,0,0.00,0.00,0,600,1.58,0.74,5,585,504.09,1.22,510
1522683209,INVITE,0,0.00,0.00,0,600,1.60,0.70,5,636,504.02,1.18,511
1522683210,INVITE,0,0.00,0.00,0,600,1.58,0.69,5,568,503.97,1.16,509
1522683211,INVITE,0,0.00,0.00,0,600,2.23,15.63,384,609,504.90,20.30,1004
1522683212,INVITE,0,0.00,0.00,0,600,1.59,0.79,7,608,504.71,15.54,886
1522683213,INVITE,0,0.00,0.00,0,600,1.57,0.74,7,600,504.03,1.27,510
1522683214,INVITE,0,0.00,0.00,0,600,1.54,0.64,5,590,504.03,1.19,510
1522683215,INVITE,0,0.00,0.00,0,600,1.60,0.75,7,612,504.00,1.19,511
1522683216,INVITE,0,0.00,0.00,0,600,1.65,0.86,9,586,504.06,1.26,512
1522683217,INVITE,0,0.00,0.00,0,600,1.63,0.77,6,614,504.91,20.25,1005
