TIMESTAMP,METHOD,100-CNT,100-AVG,100-STD,100-MAX,180-CNT,180-AVG,180-STD,180-MAX,200-CNT,200-AVG,200-STD,200-MAX
1522682704,INVITE,0,0.00,0.00,0,584,1.46,0.62,4,212,503.72,0.98,508
1522682705,INVITE,0,0.00,0.00,0,616,1.72,0.79,8,709,504.11,1.17,513
1522682706,INVITE,0,0.00,0.00,0,600,1.64,0.74,5,574,504.16,1.42,515
1522682707,INVITE,0,0.00,0.00,0,599,2.50,20.41,501,602,504.05,1.19,511
1522682708,INVITE,0,0.00,0.00,0,601,2.51,20.30,499,599,504.11,1.27,510
1522682709,INVITE,0,0.00,0.00,0,600,2.27,15.63,384,593,504.01,1.16,510
1522682710,INVITE,0,0.00,0.00,0,600,1.68,0.77,6,618,504.65,15.57,890
1522682711,INVITE,0,0.00,0.00,0,600,3.43,5.37,39,594,511.52,23.66,649
1522682712,INVITE,0,0.00,0.00,0,600,6.11,10.43,71,588,529.36,65.09,1006
1522682713,INVITE,0,0.00,0.00,0,574,10.07,29.97,213,537,522.45,43.31,710
1522682714,INVITE,0,0.00,0.00,0,597,41.85,85.96,379,530,580.05,190.51,1418
1522682715,INVITE,0,0.00,0.00,0,629,26.72,61.78,294,509,651.41,423.82,2141
1522682716,INVITE,0,0.00,0.00,0,600,12.10,25.05,111,623,952.30,716.70,2331
1522682717,INVITE,0,0.00,0.00,0,600,3.20,5.07,42,801,753.09,399.38,2869
1522682718,INVITE,0,0.00,0.00,0,571,8.03,24.56,216,557,515.66,41.26,1278
1522682719,INVITE,0,0.00,0.00,0,590,42.38,76.21,288,496,596.52,207.64,1367
1522682720,INVITE,0,0.00,0.00,0,652,52.86,111.80,542,521,687.89,481.09,2205
1522682721,INVITE,0,0.00,0.00,0,600,5.59,10.32,54,841,817.40,476.40,2167
1522682722,INVITE,0,0.00,0.00,0,600,1.70,0.73,5,607,504.21,1.71,519
1522682723,INVITE,0,0.00,0.00,0,600,1.69,0.76,5,594,504.12,1.32,512
1522682724,INVITE,0,0.00,0.00,0,600,1.70,0.88,10,612,504.12,1.37,514
1522682725,INVITE,0,0.00,0.00,0,600,1.72,0.77,7,588,504.20,1.41,512
1522682726,INVITE,0,0.00,0.00,0,600,1.71,0.83,8,606,504.09,1.15,511
1522682727,INVITE,0,0.00,0.00,0,600,1.70,0.72,5,597,504.16,1.30,510
1522682728,INVITE,0,0.00,0.00,0,600,1.63,0.82,7,598,504.09,1.25,510
1522682729,INVITE,0,0.00,0.00,0,600,1.66,0.77,7,600,504.06,1.25,510
1522682730,INVITE,0,0.00,0.00,0,600,1.65,0.78,7,600,504.11,1.50,513
1522682731,INVITE,0,0.00,0.00,0,600,1.67,0.72,6,609,504.13,1.28,511
1522682732,INVITE,0,0.00,0.00,0,600,1.70,0.81,7,593,504.11,1.32,510
1522682733,INVITE,0,0.00,0.00,0,600,1.67,0.82,6,591,504.14,1.29,511
1522682734,INVITE,0,0.00,0.00,0,600,1.69,0.89,10,619,504.07,1.21,512
1522682735,INVITE,0,0.00,0.00,0,600,1.67,0.73,5,592,504.08,1.29,510
1522682736,INVITE,0,0.00,0.00,0,600,1.57,0.72,5,594,504.12,1.29,512
1522682737,INVITE,0,0.00,0.00,0,600,1.61,0.81,7,601,503.97,1.21,512
1522682738,INVITE,0,0.00,0.00,0,600,1.58,0.74,6,611,504.00,1.39,511
1522682739,INVITE,0,0.00,0.00,0,600,1.59,0.72,5,591,503.93,1.11,509
1522682740,INVITE,0,0.00,0.00,0,600,1.63,0.79,6,598,504.03,1.33,511
1522682741,INVITE,0,0.00,0.00,0,588,6.87,17.91,139,524,514.81,42.25,725
1522682742,INVITE,0,0.00,0.00,0,559,33.45,54.46,339,390,561.57,165.42,1489
1522682743,INVITE,0,0.00,0.00,0,681,87.47,153.86,643,853,879.83,411.58,1956
1522682744,INVITE,0,0.00,0.00,0,498,67.13,137.56,563,389,607.38,189.39,1569
1522682745,INVITE,0,0.00,0.00,0,558,181.58,387.85,1445,530,608.64,314.09,2398
1522682746,INVITE,0,0.00,0.00,0,639,489.97,739.12,1936,452,662.70,423.81,3278
1522682747,INVITE,0,0.00,0.00,0,656,198.50,645.35,2981,526,594.65,496.95,4283
1522682748,INVITE,0,0.00,0.00,0,623,236.26,796.06,3280,566,882.99,1052.09,5050
1522682749,INVITE,0,0.00,0.00,0,551,133.99,553.51,3872,426,601.78,468.75,5942
1522682750,INVITE,0,0.00,0.00,0,686,130.53,155.69,739,806,1137.99,875.68,6884
1522682751,INVITE,0,0.00,0.00,0,600,12.73,26.54,150,900,2001.15,2648.81,7219
1522682752,INVITE,0,0.00,0.00,0,600,1.60,0.71,4,580,511.68,26.68,651
1522682753,INVITE,0,0.00,0.00,0,600,1.62,0.79,8,630,504.05,1.22,510
1522682754,INVITE,0,0.00,0.00,0,600,1.63,0.74,8,586,504.14,1.33,510
1522682755,INVITE,0,0.00,0.00,0,600,1.68,0.80,6,602,504.12,1.30,511
1522682756,INVITE,0,0.00,0.00,0,600,1.63,0.79,6,599,504.13,1.30,511
1522682757,INVITE,0,0.00,0.00,0,600,1.67,1.07,14,606,504.17,1.43,513
1522682758,INVITE,0,0.00,0.00,0,600,1.63,0.83,7,587,504.12,1.48,516
1522682759,INVITE,0,0.00,0.00,0,600,1.66,0.72,4,608,504.05,1.24,511
1522682760,INVITE,0,0.00,0.00,0,600,1.60,0.75,6,605,504.05,1.15,511
1522682761,INVITE,0,0.00,0.00,0,600,1.54,0.70,5,593,503.95,1.22,510
1522682762,INVITE,0,0.00,0.00,0,600,1.68,0.81,6,609,504.13,1.36,514
1522682763,INVITE,0,0.00,0.00,0,600,1.64,0.74,5,589,504.15,1.36,512
1522682764,INVITE,0,0.00,0.00,0,599,1.61,0.74,7,618,504.02,1.31,512
1522682765,INVITE,0,0.00,0.00,0,601,2.45,20.39,501,581,503.98,1.21,510
1522682766,INVITE,0,0.00,0.00,0,600,1.64,0.74,6,623,504.09,1.27,510
1522682767,INVITE,0,0.00,0.00,0,600,1.70,0.91,12,576,504.10,1.47,517
1522682768,INVITE,0,0.00,0.00,0,600,1.65,0.83,8,609,504.21,1.53,514
1522682769,INVITE,0,0.00,0.00,0,600,1.64,0.73,5,592,504.14,1.33,510
1522682770,INVITE,0,0.00,0.00,0,600,1.58,0.72,6,609,504.04,1.24,515
1522682771,INVITE,0,0.00,0.00,0,600,1.67,0.95,15,601,504.08,1.22,510
1522682772,INVITE,0,0.00,0.00,0,600,1.61,0.75,5,594,504.02,1.16,509
1522682773,INVITE,0,0.00,0.00,0,600,1.68,0.81,6,601,504.17,1.33,510
1522682774,INVITE,0,0.00,0.00,0,600,2.46,20.40,501,605,504.21,1.43,511
1522682775,INVITE,0,0.00,0.00,0,600,1.60,0.73,5,599,503.99,1.21,510
1522682776,INVITE,0,0.00,0.00,0,600,1.71,1.21,14,590,504.53,2.29,522
1522682777,INVITE,0,0.00,0.00,0,600,1.60,0.75,6,617,503.96,1.18,509
1522682778,INVITE,0,0.00,0.00,0,600,1.59,0.73,6,597,504.06,1.26,510
1522682779,INVITE,0,0.00,0.00,0,600,1.58,0.73,6,601,504.08,1.29,510
1522682780,INVITE,0,0.00,0.00,0,600,1.62,0.73,5,593,504.13,1.34,511
1522682781,INVITE,0,0.00,0.00,0,600,1.58,0.75,7,616,504.03,1.25,510
1522682782,INVITE,0,0.00,0.00,0,600,1.61,0.74,6,593,503.97,1.21,511
1522682783,INVITE,0,0.00,0.00,0,600,1.65,0.80,6,594,504.10,1.34,514
1522682784,INVITE,0,0.00,0.00,0,600,1.64,0.73,5,613,504.05,1.25,512
1522682785,INVITE,0,0.00,0.00,0,600,1.62,0.74,6,583,504.09,1.35,514
1522682786,INVITE,0,0.00,0.00,0,600,1.64,0.74,6,617,504.09,1.32,515
1522682789,INVITE,0,0.00,0.00,0,200,1.85,0.89,5,466,504.09,1.31,513
